"","locus","n_samples"
"351","Contig_1_260",38
"352","Contig_1_262",52
"353","Contig_1_265",74
"354","Contig_1_276",39
"355","Contig_1_278",39
"356","Contig_1_279",57
"357","Contig_1_280",48
"358","Contig_1_281",45
"359","Contig_1_282",88
"360","Contig_1_284",73
"361","Contig_1_285",50
"362","Contig_1_288",42
"363","Contig_1_289",39
"364","Contig_1_295",77
"365","Contig_1_297",44
"366","Contig_1_301",52
"367","Contig_1_303",68
"368","Contig_1_304",75
"369","Contig_1_310",71
"370","Contig_1_314",59
"371","Contig_1_315",35
"372","Contig_1_316",50
"373","Contig_1_318",40
"374","Contig_1_323",71
"375","Contig_1_327",54
"376","Contig_1_328",37
"377","Contig_1_330",60
"378","Contig_1_335",41
"379","Contig_1_337",62
"380","Contig_1_342",47
"381","Contig_1_347",49
"382","Contig_1_348",67
"383","Contig_1_349",40
"384","Contig_1_351",47
"385","Contig_1_353",74
"386","Contig_1_355",67
"387","Contig_1_356",62
"388","Contig_1_357",57
"389","Contig_1_359",71
"390","Contig_1_360",69
"391","Contig_1_361",38
"392","Contig_1_362",73
"393","Contig_1_363",37
"394","Contig_1_367",55
"395","Contig_1_368",54
"396","Contig_1_369",57
"397","Contig_1_370",60
"398","Contig_1_371",56
"399","Contig_1_379",52
"400","Contig_1_381",62
"401","Contig_1_382",68
"402","Contig_1_385",32
"403","Contig_1_386",56
"404","Contig_1_388",65
"405","Contig_1_389",45
"406","Contig_1_390",58
"407","Contig_1_392",75
"408","Contig_1_394",59
"409","Contig_1_396",46
"410","Contig_1_397",53
"411","Contig_1_400",38
"412","Contig_1_403",60
"413","Contig_1_406",70
"414","Contig_1_407",58
"415","Contig_1_410",69
"416","Contig_1_411",55
"417","Contig_1_412",54
"418","Contig_1_413",63
"419","Contig_1_414",0
"420","Contig_1_418",67
"421","Contig_1_422",74
"422","Contig_1_425",73
"423","Contig_1_426",36
"424","Contig_1_429",61
"425","Contig_1_436",57
"426","Contig_1_437",40
"427","Contig_1_444",74
"428","Contig_1_445",63
"429","Contig_1_446",69
"430","Contig_1_448",70
"431","Contig_1_449",68
"432","Contig_1_451",66
"433","Contig_1_452",46
"434","Contig_1_457",46
"435","Contig_1_459",56
"436","Contig_1_460",62
"437","Contig_1_461",62
"438","Contig_1_463",66
"439","Contig_1_466",70
"440","Contig_1_467",65
"441","Contig_1_469",41
"442","Contig_1_473",68
"443","Contig_1_474",79
"444","Contig_1_475",44
"445","Contig_1_476",56
"446","Contig_1_480",54
"447","Contig_1_481",69
"448","Contig_1_486",77
"449","Contig_1_487",62
"450","Contig_1_493",65
"451","Contig_1_496",67
"452","Contig_1_497",64
"453","Contig_1_502",50
"454","Contig_1_503",47
"455","Contig_1_505",65
"456","Contig_1_506",50
"457","Contig_1_509",50
"458","Contig_1_511",56
"459","Contig_1_513",76
"460","Contig_1_516",60
"461","Contig_1_527",56
"462","Contig_1_530",73
"463","Contig_1_532",76
"464","Contig_1_538",45
"465","Contig_1_541",72
"466","Contig_1_542",64
"467","Contig_1_544",66
"468","Contig_1_545",64
"469","Contig_1_546",61
"470","Contig_1_547",62
"471","Contig_1_548",55
"472","Contig_1_549",64
"473","Contig_1_550",67
"474","Contig_1_554",64
"475","Contig_1_557",74
"476","Contig_1_560",79
"477","Contig_1_561",54
"478","Contig_1_562",76
"479","Contig_1_563",61
"480","Contig_1_564",66
"481","Contig_1_566",60
"482","Contig_1_569",70
"483","Contig_1_570",63
"484","Contig_1_571",74
"485","Contig_1_573",71
"486","Contig_1_574",61
"487","Contig_1_577",57
"488","Contig_1_578",66
"489","Contig_1_579",73
"490","Contig_1_581",69
"491","Contig_1_582",70
"492","Contig_1_583",66
"493","Contig_1_586",66
"494","Contig_1_588",68
"495","Contig_1_590",53
"496","Contig_1_591",53
"497","Contig_1_603",63
"498","Contig_1_607",53
"499","Contig_1_610",63
"500","Contig_1_613",72
"501","Contig_1_615",76
"502","Contig_1_616",69
"503","Contig_1_619",74
"504","Contig_1_620",52
"505","Contig_1_623",75
"506","Contig_1_624",67
"507","Contig_1_625",69
"508","Contig_1_628",76
"509","Contig_1_631",63
"510","Contig_1_632",60
"511","Contig_1_633",74
"512","Contig_1_635",66
"513","Contig_1_638",59
"514","Contig_1_641",62
"515","Contig_1_644",67
"516","Contig_1_645",63
"517","Contig_1_647",76
"518","Contig_1_649",67
"519","Contig_1_653",73
"520","Contig_1_660",0
"521","Contig_1_661",72
"522","Contig_1_664",67
"523","Contig_1_666",73
"524","Contig_1_670",77
"525","Contig_1_678",62
"526","Contig_1_684",0
"527","Contig_1_687",65
"528","Contig_1_694",61
"529","Contig_1_696",53
"530","Contig_1_698",73
"531","Contig_1_706",71
"532","Contig_1_707",65
"533","Contig_1_710",76
"534","Contig_1_712",72
"535","Contig_1_713",60
"536","Contig_1_714",67
"537","Contig_1_715",67
"538","Contig_1_719",44
"539","Contig_1_722",59
"540","Contig_1_723",65
"541","Contig_1_729",79
"542","Contig_1_731",58
"543","Contig_1_732",57
"544","Contig_1_734",62
"545","Contig_1_736",54
"546","Contig_1_738",61
"547","Contig_1_743",53
"548","Contig_1_745",70
"549","Contig_1_749",63
"550","Contig_1_752",57
"551","Contig_1_754",54
"552","Contig_1_756",77
"553","Contig_1_758",36
"554","Contig_1_764",66
"555","Contig_1_765",72
"556","Contig_1_769",66
"557","Contig_1_772",64
"558","Contig_1_773",75
"559","Contig_1_779",66
"560","Contig_1_789",66
"561","Contig_1_793",80
"562","Contig_1_794",71
"563","Contig_1_796",64
"564","Contig_1_803",75
"565","Contig_1_805",61
"566","Contig_1_811",76
"567","Contig_1_813",61
"568","Contig_1_814",64
"569","Contig_1_823",75
"570","Contig_1_828",67
"571","Contig_1_829",61
"572","Contig_1_834",54
"573","Contig_1_835",64
"574","Contig_1_840",67
"575","Contig_1_841",69
"576","Contig_1_849",63
"577","Contig_1_856",72
"578","Contig_1_857",66
"579","Contig_1_858",65
"580","Contig_1_869",69
"581","Contig_1_872",71
"582","Contig_1_881",59
"583","Contig_1_885",0
"584","Contig_1_887",68
"585","Contig_1_901",80
"586","Contig_1_903",64
"587","Contig_1_905",76
"588","Contig_1_909",72
"589","Contig_1_913",62
"590","Contig_1_916",59
"591","Contig_1_920",78
"592","Contig_1_922",74
"593","Contig_1_929",59
"594","Contig_1_931",74
"595","Contig_1_941",74
"596","Contig_1_943",78
"597","Contig_1_956",70
"598","Contig_1_957",80
"599","Contig_1_961",54
"600","Contig_1_965",62
"601","Contig_1_966",79
"602","Contig_1_969",74
"603","Contig_1_971",75
"604","Contig_1_982",63
"605","Contig_1_985",66
"606","Contig_1_988",62
"607","Contig_1_996",73
"608","Contig_1_997",43
"609","Contig_10_121",49
"610","Contig_10_122",22
"611","Contig_10_123",46
"612","Contig_10_127",73
"613","Contig_10_128",3
"614","Contig_10_130",39
"615","Contig_10_134",18
"616","Contig_10_135",12
"617","Contig_10_138",41
"618","Contig_10_140",21
"619","Contig_10_145",43
"620","Contig_10_149",36
"621","Contig_10_151",58
"622","Contig_10_153",55
"623","Contig_10_156",33
"624","Contig_10_159",19
"625","Contig_10_164",37
"626","Contig_10_165",35
"627","Contig_10_166",51
"628","Contig_10_172",35
"629","Contig_10_181",40
"630","Contig_10_183",48
"631","Contig_10_198",30
"632","Contig_10_210",58
"633","Contig_10_212",26
"634","Contig_10_213",68
"635","Contig_10_222",47
"636","Contig_10_233",72
"637","Contig_10_272",69
"638","Contig_10_320",55
"639","Contig_106_1196",77
"640","Contig_11_120",23
"641","Contig_11_121",19
"642","Contig_11_123",22
"643","Contig_11_126",29
"644","Contig_11_128",27
"645","Contig_11_129",26
"646","Contig_11_130",34
"647","Contig_11_132",60
"648","Contig_11_134",82
"649","Contig_11_135",71
"650","Contig_11_137",52
"651","Contig_11_140",57
"652","Contig_11_142",34
"653","Contig_11_143",55
"654","Contig_11_144",24
"655","Contig_11_147",12
"656","Contig_11_150",13
"657","Contig_11_151",28
"658","Contig_11_152",58
"659","Contig_11_156",65
"660","Contig_11_161",47
"661","Contig_11_162",33
"662","Contig_11_164",45
"663","Contig_11_170",69
"664","Contig_11_173",47
"665","Contig_11_176",28
"666","Contig_11_187",47
"667","Contig_11_193",60
"668","Contig_11_194",39
"669","Contig_11_204",59
"670","Contig_11_213",46
"671","Contig_11_250",66
"672","Contig_115_865",66
"673","Contig_119_1147",44
"674","Contig_12_127",41
"675","Contig_12_128",44
"676","Contig_12_130",29
"677","Contig_12_131",31
"678","Contig_12_134",44
"679","Contig_12_135",59
"680","Contig_12_137",36
"681","Contig_12_141",28
"682","Contig_12_163",65
"683","Contig_12_164",46
"684","Contig_12_165",32
"685","Contig_12_185",29
"686","Contig_12_190",51
"687","Contig_12_220",40
"688","Contig_12_225",21
"689","Contig_13_120",21
"690","Contig_13_121",34
"691","Contig_13_122",31
"692","Contig_13_125",25
"693","Contig_13_129",56
"694","Contig_13_134",23
"695","Contig_13_142",38
"696","Contig_13_150",29
"697","Contig_13_158",45
"698","Contig_13_160",71
"699","Contig_13_161",71
"700","Contig_13_163",36
"701","Contig_13_168",61
"702","Contig_13_215",57
"703","Contig_13_228",24
"704","Contig_133_1076",79
