"","locus","n_samples"
"153","Assembly_000000016587_Contig_3_292_RUBxPipecacuanha",37
"154","Assembly_000000016587_Contig_7_158_RUBxPipecacuanha",14
"155","Assembly_000000016733_Contig_1_148_CINxHamelia",30
"156","Assembly_000000016737_Contig_1_379_CINxHamelia",38
"157","Assembly_000000016823_Contig_1_488_CINxNeolamarckia",0
"158","Assembly_000000016823_Contig_2_260_CINxNeolamarckia",0
"159","Assembly_000000016913_Contig_2_347_CINxHamelia",37
"160","Assembly_000000016913_Contig_4_220_CINxHamelia",35
"161","Assembly_000000016971_Contig_3_154_CINxHamelia",23
"162","Assembly_000000016983_Contig_1_180_CINxHamelia",0
"163","Assembly_000000016983_Contig_4_187_CINxHamelia",14
"164","Assembly_000000016983_Contig_5_124_CINxHamelia",0
"165","Assembly_000000017181_Contig_2_331_CINxNeolamarckia",21
"166","Assembly_000000017541_Contig_1_837_RUBxPipecacuanha",37
"167","Assembly_000000017639_Contig_10_138_RUBxPipecacuanha",33
"168","Assembly_000000017639_Contig_4_169_RUBxPipecacuanha",36
"169","Assembly_000000017795_Contig_1_457_RUBxPmarginata",37
"170","Assembly_000000017795_Contig_2_201_RUBxPmarginata",15
"171","Assembly_000000017967_Contig_2_223_CINxHamelia",0
"172","Assembly_000000017967_Contig_3_448_CINxHamelia",24
"173","Assembly_000000017967_Contig_4_206_CINxHamelia",21
"174","Assembly_000000017991_Contig_3_200_CINxCinchona",0
"175","Assembly_000000018063_Contig_2_530_RUBxPipecacuanha",39
"176","Assembly_000000018257_Contig_1_372_RUBxPipecacuanha",37
"177","Assembly_000000018387_Contig_1_311_CINxHamelia",32
"178","Assembly_000000018387_Contig_3_217_CINxHamelia",33
"179","Assembly_000000018477_Contig_2_238_RUBxPipecacuanha",13
"180","Assembly_000000018477_Contig_5_213_RUBxPipecacuanha",36
"181","Assembly_000000018591_Contig_1_481_RUBxPipecacuanha",37
"182","Assembly_000000018591_Contig_2_153_RUBxPipecacuanha",37
"183","Assembly_000000018597_Contig_1_196_RUBxPipecacuanha",26
"184","Assembly_000000018597_Contig_3_235_RUBxPipecacuanha",35
"185","Assembly_000000018605_Contig_2_501_RUBxPipecacuanha",36
"186","Assembly_000000018649_Contig_10_168_RUBxPipecacuanha",36
"187","Assembly_000000018649_Contig_4_223_RUBxPipecacuanha",38
"188","Assembly_000000018721_Contig_1_446_CINxCinchona",23
"189","Assembly_000000018721_Contig_2_163_CINxCinchona",21
"190","Assembly_000000018941_Contig_1_228_CINxNeolamarckia",37
"191","Assembly_000000018941_Contig_6_163_CINxNeolamarckia",27
"192","Assembly_000000019067_Contig_3_142_CINxHamelia",33
"193","Assembly_000000019151_Contig_2_263_RUBxPipecacuanha",35
"194","Assembly_000000019151_Contig_4_134_RUBxPipecacuanha",36
"195","Assembly_000000019333_Contig_2_268_RUBxPipecacuanha",38
"196","Assembly_000000019333_Contig_3_225_RUBxPipecacuanha",35
"197","Assembly_000000019423_Contig_1_634_CINxNeolamarckia",0
"198","Assembly_000000019423_Contig_2_389_CINxNeolamarckia",1
"199","Assembly_000000019883_Contig_1_447_CINxHamelia",38
"200","Assembly_000000019915_Contig_1_263_CINxHamelia",30
"201","Assembly_000000019915_Contig_2_150_CINxHamelia",37
"202","Assembly_000000020069_Contig_1_697_RUBxPipecacuanha",37
"203","Assembly_000000020069_Contig_2_384_RUBxPipecacuanha",38
"204","Assembly_000000020123_Contig_1_273_RUBxPipecacuanha",37
"205","Assembly_000000020123_Contig_2_191_RUBxPipecacuanha",30
"206","Assembly_000000020123_Contig_3_184_RUBxPipecacuanha",30
"207","Assembly_000000020123_Contig_4_162_RUBxPipecacuanha",31
"208","Assembly_000000020191_Contig_1_311_CINxHamelia",0
"209","Assembly_000000020191_Contig_3_225_CINxHamelia",20
"210","Assembly_000000020449_Contig_2_201_RUBxPipecacuanha",36
"211","Assembly_000000020449_Contig_3_180_RUBxPipecacuanha",37
"212","Assembly_000000020481_Contig_1_446_CINxHamelia",36
"213","Assembly_000000020481_Contig_3_243_CINxHamelia",28
"214","Assembly_000000020703_Contig_1_389_RUBxPipecacuanha",37
"215","Assembly_000000020715_Contig_1_963_RUBxPipecacuanha",39
"216","Assembly_000000020751_Contig_1_617_CINxNeolamarckia",6
"217","Assembly_000000021005_Contig_2_389_RUBxPmarginata",36
"218","Assembly_000000021013_Contig_3_176_RUBxPipecacuanha",28
"219","Assembly_000000021013_Contig_5_136_RUBxPipecacuanha",27
"220","Assembly_000000021121_Contig_2_370_RUBxPipecacuanha",35
"221","Assembly_000000021233_Contig_2_414_CINxHamelia",37
"222","Assembly_000000021233_Contig_7_166_CINxHamelia",21
"223","Assembly_000000021391_Contig_1_152_RUBxPipecacuanha",32
"224","Assembly_000000021391_Contig_3_257_RUBxPipecacuanha",31
"225","Assembly_000000021413_Contig_3_281_CINxNeolamarckia",33
