"","locus","n_samples"
"602","4436000010",72
"603","4440000008",72
"604","445000006",63
"605","445000018",71
"606","4461000001",69
"607","451000007",72
"608","4537000006",53
"609","458000011",73
"610","46000018",73
"611","4601000010",64
"612","463000009",74
"613","4631000015",61
"614","4632000013",67
"615","4650000019",69
"616","4653000019",73
"617","466000017",68
"618","4662000017",77
"619","469000013",64
"620","47000007",68
"621","47000008",70
"622","47000014",73
"623","4739000014",68
"624","475000011",66
"625","476000006",64
"626","476000011",70
"627","4769000000",69
"628","4775000006",68
"629","4780000001",73
"630","4794000010",75
"631","48000004",72
"632","482000000",74
"633","4826000001",65
"634","4842000001",73
"635","49000007",68
"636","49000013",74
"637","4932000001",69
"638","497000008",72
"639","4971000011",66
"640","500000012",69
"641","500000017",64
"642","50000006",68
"643","5000015",72
"644","501000014",63
"645","5015000005",62
"646","503000002",76
"647","506000011",71
"648","507000001",63
"649","5075000011",68
"650","5098000006",76
"651","510000003",76
"652","51000015",68
"653","51000018",69
"654","5105000015",73
"655","512000013",72
"656","512000015",70
"657","513000008",64
"658","515000012",69
"659","516000015",74
"660","5162000008",65
"661","5164000010",65
"662","518000009",69
"663","518000018",74
"664","5186000013",74
"665","52000000",66
"666","5218000008",69
"667","5243000011",67
"668","526000002",63
"669","533000003",66
"670","5347000012",69
"671","543000018",69
"672","5433000009",69
"673","5448000010",65
"674","545000009",69
"675","5459000015",71
"676","5460000006",69
"677","549000006",66
"678","550000005",67
"679","550000006",73
"680","5535000010",66
"681","554000001",74
"682","558000009",71
"683","5597000007",74
"684","56000004",56
"685","56000005",71
"686","5602000019",71
"687","5628000013",64
"688","563000004",76
"689","5671000017",67
"690","569000011",63
"691","5707000002",70
"692","573000018",75
"693","577000002",71
"694","58000003",70
"695","58000007",74
"696","58000009",69
"697","58000016",72
"698","583000005",73
"699","585000012",70
"700","586000002",64
"701","586000008",73
"702","59000001",75
"703","590000013",74
"704","59000013",70
"705","5911000016",50
"706","5929000001",77
"707","5941000017",65
"708","59434000006",64
"709","604000010",69
"710","606000001",65
"711","6065000018",69
"712","607000015",67
"713","6076000007",86
"714","6079000008",62
"715","6080000011",70
"716","6084000019",73
"717","61000008",70
"718","61000013",72
"719","6183000009",69
"720","6192000009",68
"721","6196000016",68
"722","621000008",75
"723","6214000008",73
"724","623000011",68
"725","624000016",72
"726","626000015",74
"727","6292000015",70
"728","630000008",74
"729","6308000012",72
"730","6331000001",67
"731","634000004",67
"732","6350000005",68
"733","64000007",73
"734","6421000004",68
"735","6434000002",70
"736","6592000001",69
"737","66000000",74
"738","66000001",64
"739","660000019",70
"740","662000004",74
"741","6627000007",71
"742","6631000015",63
"743","6650000018",69
"744","67000008",66
"745","67000018",68
"746","6713000012",62
"747","6718000002",69
"748","672000017",73
"749","6749000001",79
"750","68000007",76
"751","68000017",72
"752","6809000003",76
"753","6867000001",62
"754","69000010",72
"755","69000013",68
"756","6916000016",5
"757","6942000019",62
"758","6977000010",63
"759","70000002",75
"760","7000001",69
"761","70000018",71
"762","7000016",70
"763","7000018",68
"764","7037000001",71
"765","7046000000",59
"766","7060000004",71
"767","710000004",52
"768","7130000017",75
"769","7196000008",75
"770","7212000003",74
"771","725000009",66
"772","725000015",67
"773","729000019",68
"774","7325000014",75
"775","733000009",72
"776","7334000003",68
"777","7395000008",71
"778","7420000016",73
"779","7440000005",68
"780","749000017",58
"781","7505000003",64
"782","7520000017",68
"783","752000014",72
"784","753000019",76
"785","764000015",70
"786","7667000000",63
"787","77000005",78
"788","77000013",76
"789","77000015",78
"790","7766000014",70
"791","7797000012",67
"792","78000019",72
"793","781000000",65
"794","785000004",67
"795","786000013",77
"796","7886000015",65
"797","7896000003",69
"798","7900000015",71
"799","7952000005",55
"800","7953000002",71
"801","7966000006",74
"802","80000015",75
"803","80000018",68
"804","8000012",73
"805","8000018",65
"806","81000002",70
"807","81000014",73
"808","8117000018",66
"809","815000019",65
"810","816000000",69
"811","8161000011",71
"812","8168000014",77
"813","8174000001",65
"814","8214000009",63
"815","822000011",63
"816","824000009",67
"817","8247000016",65
"818","825000012",70
"819","8294000016",74
"820","83000003",60
"821","8313000012",68
"822","8314000002",74
"823","837000011",71
"824","8374000000",76
"825","84000000",72
"826","84000009",63
"827","8451000001",65
"828","846000012",74
"829","8465000009",72
"830","8495000006",61
"831","854000000",69
"832","8550000011",67
"833","8558000009",73
"834","857000009",73
"835","8578000005",65
"836","8603000012",62
"837","8653000013",71
"838","867000017",75
"839","8671000006",67
"840","8681000008",63
"841","869000006",71
"842","8756000016",69
"843","8799000011",74
"844","88000015",74
"845","88000016",69
"846","881000000",62
"847","8839000006",68
"848","884000016",70
"849","887000010",69
"850","889000016",63
"851","89000017",71
"852","89000018",63
"853","8962000019",70
"854","8996000002",73
"855","90000016",69
"856","9008000013",65
"857","905000006",74
"858","9051000013",64
"859","908000000",63
"860","91000006",67
"861","91000009",69
"862","9137000012",66
"863","918000009",69
"864","9182000019",74
"865","92000007",64
"866","92000018",72
"867","9235000004",66
"868","925000018",70
"869","927000019",61
"870","928000004",77
"871","9283000009",72
"872","9288000002",76
"873","93000006",69
"874","93000010",70
"875","9302000013",74
"876","931000017",63
"877","9328000013",67
"878","9343000004",73
"879","936000001",64
"880","9361000016",73
"881","9386000018",68
"882","940000014",64
"883","940000018",75
"884","942000001",72
"885","942000009",75
"886","9427000008",68
"887","95000014",65
"888","951000019",77
"889","96000010",69
"890","96000014",73
"891","9608000010",71
"892","966000016",64
"893","968000000",67
"894","970000007",71
"895","9703000013",72
"896","9704000000",76
"897","9719000005",73
"898","98000004",64
"899","98000019",75
"900","983000012",67
"901","9849000002",65
